,price,equity,port_ret,w_actual,w_target,mu_ann,sigma_ann,band
2018-04-10,2656.8701171875,1.002983318680931,6.706349206342388e-05,0.0,0.0,-0.26287430715103943,0.15363814887493302,0.0008245657243653186
2018-04-11,2642.18994140625,1.003050582244763,6.706349206342388e-05,0.0,0.0,-0.3430149555586679,0.15189112275564162,0.0008151895514025001
2018-04-12,2663.989990234375,1.0031178503195246,6.706349206342388e-05,0.0,0.0,-0.22357143137682134,0.15205586297321183,0.0008160737011909971
2018-04-13,2656.300048828125,1.0031851229055182,6.706349206342388e-05,0.0,0.0,-0.2690972786284285,0.15025272456332736,0.0008063963772973878
2018-04-14,2656.300048828125,1.0032524000030463,6.706349206342388e-05,0.0,0.0,-0.26990198578872565,0.1486071872609825,0.0007975648880636644
2018-04-15,2656.300048828125,1.0033196816124115,6.706349206342388e-05,0.0,0.0,-0.27021378614963715,0.14699949274036017,0.0007889364985219874
2018-04-16,2677.840087890625,1.0033869677339164,6.706349206342388e-05,0.0,0.0,-0.15714464980222576,0.14717606930264648,0.0007898841731851733
2018-04-17,2706.389892578125,1.0034542583678636,6.706349206342388e-05,0.0,0.0,-0.01780441040216907,0.14825538556159001,0.0007956767917463323
2018-04-18,2708.639892578125,1.0035215535145556,6.706349206342388e-05,0.0,0.0,-0.02636789573668974,0.14674702603079173,0.0007875815264868656
2018-04-19,2693.1298828125,1.0035888531742951,6.706349206342388e-05,0.0,0.0,-0.1255670728244984,0.14533723417641067,0.0007800152673895998
2018-04-20,2670.139892578125,1.003656157347385,6.706349206342388e-05,0.0,0.0,-0.25547115437750123,0.1444101233836168,0.0007750395254399276
2018-04-21,2670.139892578125,1.0037234660341277,6.706349206342388e-05,0.0,0.0,-0.2541201439762821,0.14293410309456286,0.0007671178227395622
2018-04-22,2670.139892578125,1.003790779234826,6.706349206342388e-05,0.0,0.0,-0.2525359181499602,0.1414870303894023,0.0007593514797962396
2018-04-23,2670.2900390625,1.0038580969497826,6.706349206342388e-05,0.0,0.0,-0.24996005079456501,0.14007187438575291,0.0007517564316666962
2018-04-24,2634.56005859375,1.0039254191793001,6.706349206342388e-05,0.0,0.0,-0.436436688286846,0.1406867046989963,0.0007550561850568126
